Feature_Set,Model,MAE,RMSE,R2,Within_1_Star
LR + NB probs,Linear Regression,0.5016264425804963,0.8714704207888915,0.7385742440596195,0.858701041150223
LR + NB probs,Ridge Regression,0.5017500411375275,0.8715192600901059,0.7385449413805943,0.858701041150223
LR prob only,Linear Regression,0.5155019546765077,0.8730557064718236,0.7376222634861225,0.8487853247397125
LR prob only,Ridge Regression,0.515754814024278,0.8730794133223891,0.7376080141451107,0.8487853247397125
NB prob only,Linear Regression,0.5204424056264666,0.9202771915800814,0.7084719232907992,0.8559742191373326
NB prob only,Ridge Regression,0.5207255304879619,0.9202621799247469,0.7084814340846219,0.8559742191373326
Direct TF-IDF,Direct TFIDF + Ridge,0.6496499183436947,0.9384726210543148,0.6968299574908072,0.7583044124938026
Trivial baseline,Dummy Median,1.1509667823500247,2.0566469623670427,-0.4560039977414554,0.7114526524541398
Trivial baseline,Dummy Mean,1.5162492143503081,1.7044272333368813,0.0,0.06073376301437779
